NOMBRE;ESTADO;MASA;DESCUBRIMIENTO;ACTUALIZACION;ESTADO_PUBLICACION;TIPO_DETECCION;RA;DEC;DISTANCIA_ESTRELLA;MASA_ESTRELLA
Kepler-964 b;Confirmed;1.357333333;2016;5/12/2016;Announced on a website;Primary Transit;295.30009;40.556591;478;0.93
Kepler-965 b;Confirmed;1.6234;2016;5/12/2016;Announced on a website;Primary Transit;298.515338;41.891205;618;1.05
Kepler-966 b;Confirmed;1.889466667;2016;5/12/2016;Announced on a website;Primary Transit;297.270578;50.121811;773;1.02
Kepler-967 b;Confirmed;2.155533333;2016;5/12/2016;Announced on a website;Primary Transit;286.558075;38.40536;499;0.84
Kepler-967 c;Confirmed;2.4216;2016;5/12/2016;Announced on a website;Primary Transit;286.558075;38.40536;499;0.84
Kepler-968 b;Confirmed;2.687666667;2016;5/12/2016;Announced on a website;Primary Transit;285.602528;50.112038;312;0.76
Kepler-968 c;Confirmed;2.953733333;2016;5/12/2016;Announced on a website;Primary Transit;285.602528;50.112038;312;0.76
Kepler-969 b;Confirmed;3.2198;2016;5/12/2016;Announced on a website;Primary Transit;288.372508;47.933556;411;0.92
Kepler-969 c;Confirmed;3.485866667;2016;5/12/2016;Announced on a website;Primary Transit;288.372508;47.933556;411;0.92
Kepler-970 b;Confirmed;3.751933333;2016;5/12/2016;Announced on a website;Primary Transit;289.62523;40.708726;350;0.7
Kepler-971 b;Confirmed;4.018;2016;5/12/2016;Announced on a website;Primary Transit;284.094587;41.182821;345;0.88
Kepler-972 b;Confirmed;4.284066667;2016;5/12/2016;Announced on a website;Primary Transit;295.828703;43.425495;1304;1.15
